league,date,Team,GP,W,L,AGT,K,D,KD,CKPM,GSPD,GD15,FB%,FT%,F3T%,PPG,HLD%,GRB%,FD%,DRG%,ELD%,FBN%,BN%,LNE%,JNG%,WPM,CWPM,WCPM,winrate%
CBLOL,2023-07-30,LOUD,16.0,11.0,5.0,32.13229166666667,250.0,212.0,1.179245283018868,0.8981019170602875,0.043234564375,406.4375,0.3125,0.6875,0.8125,5.875,0.6875,,0.5625,0.6081081081081081,0.0,0.6875,0.6206896551724138,0.5029983485475497,0.5256261802975967,3.33975625,1.2994698294253078,1.517517510677343,0.6875
CBLOL,2023-08-05,LOUD,17.0,12.0,5.0,31.801960784313724,276.0,217.0,1.271889400921659,0.9140415721036226,0.05627523705882353,468.1764705882353,0.35294117647058826,0.7058823529411765,0.8235294117647058,5.823529411764706,0.6764705882352942,,0.5882352941176471,0.6282051282051282,0.0,0.7058823529411765,0.6333333333333333,0.5032301734450018,0.5282037252474112,3.3984117647058825,1.3206382954801137,1.5192045606463729,0.7058823529411765
CBLOL,2023-08-06,LOUD,18.0,13.0,5.0,31.979629629629628,302.0,236.0,1.2796610169491525,0.9346900561931039,0.05589174611111111,376.55555555555554,0.3888888888888889,0.7222222222222222,0.7777777777777778,5.888888888888889,0.6666666666666666,,0.6111111111111112,0.6265060240963856,0.0,0.7222222222222222,0.65625,0.5021588467565641,0.5319442682202943,3.4413555555555555,1.3250472790645516,1.510994783467606,0.7222222222222222
CBLOL,2023-08-13,LOUD,4.0,3.0,1.0,31.566666666666663,56.0,58.0,0.9655172413793104,0.9103020364334163,0.0538798,-1042.5,0.5,0.5,0.5,5.0,0.25,,0.25,0.29411764705882354,,0.75,0.75,0.5210153213038387,0.5412678931660015,3.5964,1.3998576237313558,1.4963838726326983,0.75
CBLOL,2023-08-20,LOUD,7.0,6.0,1.0,32.83571428571428,99.0,78.0,1.2692307692307692,0.7884895635381548,0.05052804285714286,102.0,0.5714285714285714,0.7142857142857143,0.7142857142857143,5.428571428571429,0.42857142857142855,,0.42857142857142855,0.41935483870967744,,0.7142857142857143,0.7142857142857143,0.5108014861081022,0.5406804827438576,3.700357142857143,1.4313562078928779,1.7827053493169094,0.8571428571428571
CBLOL,2023-09-09,LOUD,11.0,9.0,2.0,31.46363636363636,150.0,116.0,1.293103448275862,0.7826866860028079,0.07434914545454545,779.4545454545455,0.5454545454545454,0.7272727272727273,0.7272727272727273,6.2727272727272725,0.45454545454545453,,0.36363636363636365,0.3695652173913043,,0.6363636363636364,0.6666666666666666,0.5081810725922828,0.5358175179053858,3.864927272727273,1.4047628494594278,1.7214221784025272,0.8181818181818182
CBLOL,2023-01-21,Liberty,1.0,1.0,0.0,41.266666666666666,20.0,21.0,0.9523809523809523,0.9935379644588046,-0.114255,-730.0,1.0,0.0,0.0,2.0,0.5,,1.0,0.5,,0.0,0.3333333333333333,0.4946401225114854,0.44680851063829785,3.9742,1.5508885298869144,1.5751211631663975,1.0
CBLOL,2023-01-22,Liberty,2.0,2.0,0.0,39.2,35.0,39.0,0.8974358974358975,0.9411136859995998,-0.10391325,-783.0,0.5,0.5,0.0,2.0,0.25,,1.0,0.5833333333333334,,0.0,0.4,0.5082513502960607,0.4790433530635098,3.69715,1.4756237981571019,1.5954600429835577,1.0
CBLOL,2023-01-28,Liberty,3.0,2.0,1.0,40.87777777777778,44.0,56.0,0.7857142857142857,0.8233397946854906,-0.1280055,-880.3333333333334,0.3333333333333333,0.6666666666666666,0.3333333333333333,3.3333333333333335,0.16666666666666666,,1.0,0.5789473684210527,,0.3333333333333333,0.375,0.5025208158827932,0.46547089910548234,3.979466666666667,1.375610540142916,1.8322911213459838,0.6666666666666666
CBLOL,2023-01-29,Liberty,4.0,2.0,2.0,37.520833333333336,50.0,79.0,0.6329113924050633,0.8816214216061034,-0.124992875,-1073.75,0.5,0.5,0.25,3.75,0.25,,1.0,0.6086956521739131,,0.25,0.3333333333333333,0.4960352147634187,0.4784682536941911,4.02285,1.3777916938139265,1.9115589603173202,0.5
